initiator,severity,rawLog,module,date,organization,message
Scan,Information,"Tue, 14 Aug 2018 10:30:01 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 10:30:01 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 10:30:01 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 10:30:01 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 10:30:01 -0400|Scan|message|INFO|4|Scan job #10529231 ('HPC-RESEARCH FULL UnAuthenticated 157 Scan' - #76) has acquired Scan 'HPC-RESEARCH FULL UnAuthenticated 157 Scan' (launched by HPC - RESEARCH  [HPC - RESEARCH]).
",message,"Tue, 14 Aug 2018 10:30:01 -0400",West Virginia University,Scan job #10529231 ('HPC-RESEARCH FULL UnAuthenticated 157 Scan' - #76) has acquired Scan 'HPC-RESEARCH FULL UnAuthenticated 157 Scan' (launched by HPC - RESEARCH  [HPC - RESEARCH]).
Scan,Information,"Tue, 14 Aug 2018 10:30:00 -0400|Scan|message|INFO|4|Scan job #10529231 starting...
",message,"Tue, 14 Aug 2018 10:30:00 -0400",West Virginia University,Scan job #10529231 starting...
system,Information,"Tue, 14 Aug 2018 10:27:16 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules successful for Repository #27.
",riskRules,"Tue, 14 Aug 2018 10:27:16 -0400",West Virginia University,Applying Recast and Accept Risk Rules successful for Repository #27.
system,Information,"Tue, 14 Aug 2018 10:27:16 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules for Repository #27 has started.
",riskRules,"Tue, 14 Aug 2018 10:27:16 -0400",West Virginia University,Applying Recast and Accept Risk Rules for Repository #27 has started.
import,Information,"Tue, 14 Aug 2018 10:27:06 -0400|import|message|INFO|4|Import successful for scan #14085 into Repository #27.
",message,"Tue, 14 Aug 2018 10:27:06 -0400",West Virginia University,Import successful for scan #14085 into Repository #27.
Scan,Information,"Tue, 14 Aug 2018 10:27:04 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 10:27:04 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 10:27:04 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 10:27:04 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 10:27:04 -0400|Scan|message|INFO|4|Scan job #10529204 ('_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157' - #955) has acquired Scan '_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157' (launched by ISS  [ISS]).
",message,"Tue, 14 Aug 2018 10:27:04 -0400",West Virginia University,Scan job #10529204 ('_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157' - #955) has acquired Scan '_LicenseRecoveryScan-TEST_ISS FULL UnAuth 157' (launched by ISS  [ISS]).
system,Information,"Tue, 14 Aug 2018 10:27:03 -0400|system|import|INFO|4|Import beginning for scan #14085 into Repository #27.
",import,"Tue, 14 Aug 2018 10:27:03 -0400",West Virginia University,Import beginning for scan #14085 into Repository #27.
Scan,Information,"Tue, 14 Aug 2018 10:27:03 -0400|Scan|message|INFO|4|Scan job #10529204 starting...
",message,"Tue, 14 Aug 2018 10:27:03 -0400",West Virginia University,Scan job #10529204 starting...
Scan,Information,"Tue, 14 Aug 2018 10:27:00 -0400|Scan|message|INFO|4|Scan job #10529203 ('_Test License Primary Schedule' - #956)  (_Test License Primary Schedule) has ended.
",message,"Tue, 14 Aug 2018 10:27:00 -0400",West Virginia University,Scan job #10529203 ('_Test License Primary Schedule' - #956)  (_Test License Primary Schedule) has ended.
Scan,Information,"Tue, 14 Aug 2018 10:15:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 10:15:02 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 10:15:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 10:15:02 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 10:15:01 -0400|Scan|message|INFO|4|Scan job #10529203 ('_Test License Primary Schedule' - #956) has acquired Scan '_Test License Primary Schedule' (launched by ISS  [ISS]).
",message,"Tue, 14 Aug 2018 10:15:01 -0400",West Virginia University,Scan job #10529203 ('_Test License Primary Schedule' - #956) has acquired Scan '_Test License Primary Schedule' (launched by ISS  [ISS]).
Scan,Information,"Tue, 14 Aug 2018 10:15:01 -0400|Scan|message|INFO|4|Scan job #10529203 starting...
",message,"Tue, 14 Aug 2018 10:15:01 -0400",West Virginia University,Scan job #10529203 starting...
system,Information,"Tue, 14 Aug 2018 10:14:55 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules successful for Repository #39.
",riskRules,"Tue, 14 Aug 2018 10:14:55 -0400",West Virginia University,Applying Recast and Accept Risk Rules successful for Repository #39.
system,Information,"Tue, 14 Aug 2018 10:14:55 -0400|system|riskRules|INFO|4|Applying Recast and Accept Risk Rules for Repository #39 has started.
",riskRules,"Tue, 14 Aug 2018 10:14:55 -0400",West Virginia University,Applying Recast and Accept Risk Rules for Repository #39 has started.
import,Information,"Tue, 14 Aug 2018 10:14:41 -0400|import|message|INFO|4|Import successful for scan #14084 into Repository #39.
",message,"Tue, 14 Aug 2018 10:14:41 -0400",West Virginia University,Import successful for scan #14084 into Repository #39.
